id,question,gold_uri,surface_form,redis_top1,found_correct,redis_score
1,How many unique authors have written science fiction novels?,Science_fiction,Science fiction,Science_fiction,True,1.0
3,What is the birthplace of Keanu Reeves?,Keanu_Reeves,Keanu Reeves,Keanu_Reeves,True,1.0
5,What is the capital city of the Republic of Montenegro (1992,Republic_of_Montenegro_(1992–2006),Republic of Montenegro 1992–2006,NO RESULT,False,0.0
6,Identify the corporation associated with products such as iP,IPhone,IPhone,IPhone,True,1.0
6,Identify the corporation associated with products such as iP,IPad,IPad,IPad,True,1.0
7,Which nearest city of the Eiffel Tower is the birthplace of ,Gustave_Eiffel,Gustave Eiffel,Gustave_Eiffel,True,1.0
8,Is the Eiffel Tower located in Paris?,Eiffel_Tower,Eiffel Tower,Eiffel_Tower,True,1.0
8,Is the Eiffel Tower located in Paris?,Paris,Paris,Paris,True,1.0
9,Who designed the Python programming language?,Python_(programming_language),Python programming language,Python_(programming_language),True,1.0
10,Which teams have players in the Wide Receiver position in Am,Wide_receiver,Wide receiver,Wide_receiver,True,1.0
12,Who is the manufacturer of the Boeing 747?,Boeing_747,Boeing 747,Boeing_747,True,1.0
13,Which movie features Johnny Depp as a lead actor?,Johnny_Depp,Johnny Depp,Johnny_Depp,True,1.0
14,Did J.K. Rowling write the Harry Potter series?,Harry_Potter,Harry Potter,Harry_Potter,True,1.0
14,Did J.K. Rowling write the Harry Potter series?,J._K._Rowling,J. K. Rowling,J._K._Rowling,True,1.0
15,Who is the director of the Louvre Museum?,Louvre,Louvre,Louvre,True,1.0
16,Who are the directors of Inception?,Inception,Inception,Inception,True,1.0
17,What are some movies available on Netflix?,Netflix,Netflix,Netflix,True,1.0
20,What is the primary language spoken by the ethnic group to w,Chimamanda_Ngozi_Adichie,Chimamanda Ngozi Adichie,Chimamanda_Ngozi_Adichie,True,1.0
21,In which country is the Eiffel Tower located?,Eiffel_Tower,Eiffel Tower,Eiffel_Tower,True,1.0
